signal_date,recorded_at,symbol,signal_price,rank,smart_money_score,selection_score,classification,rsi,atr_pct,volume_ratio,volume_accumulation_ratio,up_down_volume_ratio,range_20_pct,close_position,upper_wick_ratio,distance_to_high_20,ema20_distance,return_1d,return_5d_at_signal,return_10d_at_signal,return_20d_at_signal,trend_score,volume_score,compression_score,candle_score,momentum_score,liquidity_score,risk_penalty,positive_reasons,risk_reasons,result_1d,result_3d,result_5d,result_10d,max_result_5d,min_result_5d,max_result_10d,min_result_10d,hit_3pct_5d,hit_5pct_10d,status
2026-07-23,2026-07-23 12:14:15,BOSSA,7.09,2,79,55.85,GÜÇLÜ ADAY,62.16,4.3,1.16,3.35,1.56,22.31,0.93,0.07,4.19,6.35,4.88,5.51,11.83,9.92,20,26,0,10,20,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.16x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü kapanış | RSI sağlıklı bölgede 62.2 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-3.39,-5.36,-12.13,,-3.39,-12.13,-3.39,-12.13,0.0,0.0,5g_güncellendi
2026-07-23,2026-07-23 12:14:15,CIMSA,50.5,3,71,50.5,GÜÇLÜ ADAY,57.1,2.82,0.32,1.33,1.75,12.58,0.5,0.5,1.37,3.32,-0.2,5.08,8.42,2.43,14,17,15,0,20,5,0,EMA20 üzerinde | EMA20 eğimi yukarı | Hacim birikimi var | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.6 | Volatilite daralıyor | RSI sağlıklı bölgede 57.1 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-1.7,-6.26,-8.48,,-1.7,-8.48,-1.7,-10.57,0.0,0.0,5g_güncellendi
2026-07-22,2026-07-22 12:15:10,CWENE,41.14,1,82,58.1,ELİT ADAY,58.06,4.91,1.23,1.95,2.09,17.63,0.58,0.42,4.19,3.97,2.34,5.49,0.59,3.42,20,26,11,0,20,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Hacim ortalamanın üzerinde 1.23x | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Kontrollü bant %17.6 | Volatilite daralıyor | RSI sağlıklı bölgede 58.1 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-4.13,-9.43,-11.81,,-4.13,-11.81,-4.13,-17.31,0.0,0.0,5g_güncellendi
2026-07-22,2026-07-22 12:15:10,POLHO,22.48,2,78,55.15,GÜÇLÜ ADAY,64.73,3.45,0.32,1.76,3.04,12.76,0.86,0.14,2.18,5.52,2.18,9.23,6.95,9.44,20,20,10,10,15,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %12.8 | Güçlü kapanış | RSI sağlıklı bölgede 64.7 | 20 günlük dirence yakın,Belirgin risk yok,-1.42,-7.56,-8.19,,-1.42,-8.19,-1.42,-8.19,0.0,0.0,5g_güncellendi
2026-07-22,2026-07-22 12:15:10,EGEPO,19.31,3,76,54.2,GÜÇLÜ ADAY,54.68,4.21,0.2,2.15,3.23,14.11,0.56,0.44,6.17,1.96,0.78,5.63,5.87,0.31,20,20,15,0,18,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %14.1 | Volatilite daralıyor | RSI sağlıklı bölgede 54.7 | Erken momentum,Belirgin risk yok,-0.52,-6.16,-5.23,,-0.52,-6.16,-0.52,-6.16,0.0,0.0,5g_güncellendi
2026-07-21,2026-07-21 12:17:08,POLHO,22.14,1,83,58.15,ELİT ADAY,61.96,3.57,0.33,1.73,3.0,13.31,0.91,0.09,3.66,4.47,1.1,6.75,6.44,8.42,20,20,10,10,20,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %13.3 | Güçlü kapanış | RSI sağlıklı bölgede 62.0 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-0.09,-3.25,-6.78,,0.09,-6.78,0.09,-6.78,0.0,0.0,5g_güncellendi
2026-07-21,2026-07-21 12:17:08,EREGL,44.04,2,72,47.15,GÜÇLÜ ADAY,64.08,3.22,0.32,0.88,1.81,13.27,0.92,0.08,0.41,6.16,1.01,7.78,6.07,9.17,20,7,10,10,20,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Yükselen gün hacmi baskın | Güçlü sıkışma %13.3 | Güçlü kapanış | RSI sağlıklı bölgede 64.1 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-4.09,-1.73,-0.41,,0.36,-4.09,0.36,-6.95,0.0,0.0,5g_güncellendi
2026-07-21,2026-07-21 12:17:08,SURGY,71.7,3,70,46.0,GÜÇLÜ ADAY,54.04,4.19,0.48,0.77,1.7,12.25,0.93,0.07,4.46,2.37,2.43,7.5,3.31,-2.32,16,7,15,10,17,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Yükselen gün hacmi baskın | Güçlü sıkışma %12.3 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 54.0 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-1.88,-4.46,-6.28,,-1.88,-6.28,-1.88,-6.28,0.0,0.0,5g_güncellendi
2026-07-20,2026-07-20 12:47:30,POLHO,22.34,1,83,58.15,ELİT ADAY,63.25,3.64,0.42,1.65,2.35,13.31,0.92,0.08,2.79,5.7,3.23,3.23,5.38,7.4,20,20,10,10,20,3,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | 10 günlük hacim birikimi güçlü | Yükselen gün hacmi baskın | Fiyat gitmeden sessiz hacim artışı | Güçlü sıkışma %13.3 | Güçlü kapanış | RSI sağlıklı bölgede 63.3 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,-1.52,-0.81,-6.98,,-0.81,-6.98,-0.81,-7.61,0.0,0.0,5g_güncellendi
2026-07-20,2026-07-20 12:47:30,BIMAS,390.25,2,77,50.4,GÜÇLÜ ADAY,57.75,2.85,0.35,1.06,4.35,12.74,0.86,0.14,2.01,3.17,1.1,4.77,9.31,1.83,20,7,15,10,20,5,0,EMA20 üzerinde | Orta vadeli trend pozitif | EMA20 eğimi yukarı | Yükselen gün hacmi baskın | Güçlü sıkışma %12.7 | Volatilite daralıyor | Güçlü kapanış | RSI sağlıklı bölgede 57.8 | Erken momentum | 20 günlük dirence yakın,Belirgin risk yok,0.7,0.06,-1.79,,2.43,-2.56,2.43,-2.56,0.0,0.0,5g_güncellendi
