leader,follower,lag_days,train_events,train_success_rate,train_average_return,train_baseline_rate,train_uplift,test_events,test_success_rate,test_average_return,test_median_return,test_baseline_rate,test_uplift,relationship_score
PARSN,ULUSE,1,19,15.79,-0.3,15.05,0.74,5,60.0,4.07,5.55,15.77,44.23,41.72
IZENR,MOBTL,2,36,30.56,0.97,16.8,13.76,10,50.0,3.25,3.08,19.17,30.83,41.72
FONET,DOGUB,4,71,22.54,0.89,16.73,5.8,21,57.14,3.59,5.73,32.35,24.79,41.72
GOKNR,YEOTK,5,21,23.81,0.02,15.9,7.9,7,57.14,3.16,3.21,19.59,37.55,41.7
DGNMO,ULUSE,5,19,21.05,1.28,15.17,5.88,17,52.94,3.13,4.65,16.03,36.91,41.7
ALFAS,OZATD,1,12,16.67,-0.53,16.98,-0.31,11,54.55,4.93,3.15,22.63,31.91,41.7
YYLGD,EDATA,2,13,38.46,1.58,18.58,19.88,6,50.0,3.35,3.29,22.5,27.5,41.7
DOCO,OZATD,2,10,40.0,1.98,16.98,23.02,11,45.45,2.86,0.49,22.73,22.73,41.7
GUBRF,TATEN,2,29,13.79,-0.54,15.81,-2.02,10,60.0,3.12,3.65,18.75,41.25,41.69
TUPRS,DITAS,4,8,25.0,-0.72,15.94,9.06,8,62.5,1.22,3.6,24.37,38.13,41.69
DURDO,OZRDN,1,46,10.87,0.65,14.4,-3.53,11,63.64,3.16,5.36,28.63,35.01,41.69
THYAO,KUVVA,2,13,38.46,1.81,20.44,18.03,4,50.0,3.53,2.75,17.5,32.5,41.69
CANTE,DOGUB,5,23,26.09,0.58,16.77,9.32,13,53.85,3.97,5.24,32.49,21.36,41.69
PENTA,INDES,2,17,35.29,1.48,12.3,22.99,6,50.0,1.78,2.3,10.0,40.0,41.68
GARAN,HEDEF,2,25,20.0,0.14,19.76,0.24,6,66.67,2.39,3.02,28.05,38.62,41.68
KLSER,TARKM,1,13,30.77,1.81,8.58,22.19,4,50.0,3.4,3.69,12.03,37.97,41.68
ISCTR,SNPAM,4,14,35.71,1.38,19.05,16.67,4,50.0,2.86,3.43,8.82,41.18,41.67
YBTAS,INVES,1,31,19.35,-0.03,12.86,6.49,10,60.0,1.82,5.11,19.5,40.5,41.67
AZTEK,TRHOL,3,50,22.0,1.05,26.44,-4.44,12,58.33,3.59,3.36,30.96,27.37,41.67
AZTEK,BYDNR,2,49,24.49,1.04,12.1,12.39,12,50.0,3.27,3.12,17.5,32.5,41.66
KIMMR,YGGYO,1,38,2.63,-0.08,8.91,-6.28,8,62.5,3.55,3.69,12.86,49.64,41.65
TSGYO,ODINE,2,18,11.11,-0.4,20.29,-9.17,6,66.67,3.42,3.83,26.86,39.81,41.65
CCOLA,RYSAS,1,15,20.0,1.81,15.38,4.62,9,55.56,3.48,3.27,16.6,38.96,41.65
MARBL,DITAS,4,40,15.0,-0.29,15.94,-0.94,8,62.5,3.43,3.95,24.37,38.13,41.65
ORGE,CELHA,2,27,18.52,1.01,15.48,3.04,15,60.0,1.94,3.63,22.08,37.92,41.65
BANVT,GEDIK,5,49,10.2,0.2,12.13,-1.92,5,60.0,4.31,5.08,11.81,48.19,41.64
SAHOL,KRDMB,3,13,7.69,-0.47,10.34,-2.65,6,66.67,2.91,3.61,19.67,47.0,41.64
AGROT,TGSAS,5,55,14.55,0.07,19.96,-5.41,11,54.55,4.12,4.21,14.77,39.78,41.64
SAHOL,IHAAS,5,14,14.29,-0.03,17.5,-3.21,5,60.0,5.45,3.69,24.47,35.53,41.64
GWIND,PKART,1,13,30.77,1.82,17.43,13.34,4,50.0,4.59,5.22,14.52,35.48,41.64
KRVGD,MTRKS,2,13,38.46,1.56,17.59,20.87,6,50.0,2.32,1.87,15.83,34.17,41.64
PLTUR,BURVA,2,44,22.73,0.53,18.06,4.67,6,66.67,2.37,4.16,34.17,32.5,41.64
MPARK,ANELE,2,21,9.52,-0.34,15.48,-5.95,6,66.67,3.54,3.96,26.25,40.42,41.63
AKMGY,GEREL,4,44,18.18,0.37,18.45,-0.27,12,58.33,2.52,3.16,19.33,39.01,41.63
OSMEN,ODINE,1,27,22.22,-0.1,20.29,1.94,10,60.0,2.83,3.83,26.75,33.25,41.63
BEYAZ,CRFSA,2,41,29.27,0.93,12.5,16.77,10,50.0,3.45,2.0,22.08,27.92,41.63
BIMAS,ALCTL,4,13,15.38,-0.33,15.74,-0.35,5,60.0,3.99,3.39,14.71,45.29,41.62
NUGYO,KNFRT,4,28,28.57,1.04,16.53,12.04,7,57.14,1.41,3.27,14.71,42.44,41.62
PNSUT,CRDFA,4,20,15.0,-0.38,21.63,-6.63,10,60.0,3.38,3.43,22.27,37.73,41.62
BRISA,ISBTR,1,20,40.0,1.22,19.21,20.79,4,50.0,2.44,2.31,13.28,36.72,41.62
BAGFS,PCILT,1,33,27.27,1.32,15.64,11.63,14,50.0,2.66,2.96,15.35,34.65,41.62
KRDMD,DMRGD,1,13,23.08,0.96,14.4,8.68,9,55.56,3.31,4.06,21.58,33.98,41.62
BERA,KAPLM,1,27,22.22,0.26,18.61,3.61,11,54.55,3.69,3.22,21.99,32.55,41.62
GOZDE,DGNMO,4,21,9.52,-0.14,13.75,-4.22,6,66.67,1.93,3.28,14.29,52.38,41.61
NATEN,ECZYT,2,39,23.08,0.15,13.29,9.78,5,60.0,2.02,3.11,15.0,45.0,41.61
KAREL,ARSAN,3,21,4.76,-1.14,13.07,-8.31,13,61.54,3.05,3.45,18.83,42.71,41.61
PGSUS,DCTTR,3,8,37.5,1.12,24.48,13.02,4,50.0,3.26,3.49,11.2,38.8,41.6
GOODY,EDATA,2,17,41.18,2.5,18.58,22.6,6,50.0,2.65,2.37,22.5,27.5,41.6
KRVGD,CVKMD,2,13,38.46,1.91,18.58,19.88,6,50.0,3.45,2.18,23.75,26.25,41.6
ENTRA,KTLEV,1,15,40.0,2.4,20.8,19.2,10,50.0,2.56,1.91,28.11,21.89,41.6
AGESA,GENIL,3,23,13.04,-0.8,14.65,-1.61,5,60.0,3.83,4.04,11.3,48.7,41.59
TSPOR,RYSAS,4,32,12.5,0.33,15.48,-2.98,8,62.5,2.66,4.15,16.39,46.11,41.59
KRVGD,SUNTK,4,13,23.08,0.44,18.13,4.95,7,57.14,3.5,3.46,19.75,37.39,41.59
DGNMO,EGPRO,5,19,31.58,1.45,13.32,18.26,17,47.06,2.57,2.27,16.03,31.03,41.59
PENTA,CELHA,3,17,23.53,0.93,15.51,8.02,5,60.0,3.07,4.15,22.18,37.82,41.58
DOHOL,HURGZ,1,9,33.33,0.37,15.25,18.09,4,50.0,3.85,3.25,15.35,34.65,41.58
YIGIT,GIPTA,5,23,39.13,1.38,18.77,20.36,6,50.0,2.78,3.06,19.83,30.17,41.58
KONKA,LIDFA,4,24,16.67,0.22,14.68,1.98,7,57.14,3.73,4.31,12.9,44.24,41.57
PENTA,EDATA,3,18,33.33,2.07,18.61,14.72,5,60.0,1.14,3.31,22.59,37.41,41.57
ARDYZ,KTLEV,2,17,29.41,0.85,20.8,8.61,28,53.57,3.05,3.17,28.23,25.35,41.57
TAVHL,NTHOL,1,10,20.0,0.72,16.24,3.76,5,60.0,2.05,3.63,7.88,52.12,41.56
YATAS,GLYHO,3,12,33.33,1.54,13.66,19.67,6,50.0,2.58,2.74,12.13,37.87,41.56
MHRGY,ENSRI,3,12,25.0,-0.59,22.97,2.03,7,57.14,3.73,4.2,21.34,35.8,41.56
VESBE,ARSAN,4,16,37.5,1.17,13.1,24.4,4,50.0,3.12,2.67,18.91,31.09,41.56
BOBET,TKNSA,5,21,23.81,0.23,14.97,8.84,5,60.0,1.38,3.32,10.55,49.45,41.55
AKSA,INFO,4,22,9.09,0.42,15.87,-6.78,6,66.67,2.89,3.66,21.37,45.3,41.55
SUWEN,IHAAS,2,23,17.39,-0.51,17.59,-0.2,8,62.5,3.02,3.2,24.17,38.33,41.55
MNDTR,TMPOL,2,20,10.0,-0.32,19.25,-9.25,5,60.0,5.92,8.54,24.17,35.83,41.55
ESCAR,RALYH,2,35,28.57,1.71,18.38,10.19,15,53.33,2.04,3.12,20.42,32.92,41.55
DNISI,ISKPL,5,54,20.37,0.48,18.29,2.08,7,57.14,4.07,7.58,19.41,37.73,41.54
BFREN,DITAS,2,37,18.92,-0.38,16.07,2.85,5,60.0,4.44,6.28,24.17,35.83,41.54
TAVHL,ANELE,3,11,18.18,-0.1,15.51,2.67,5,60.0,4.85,5.91,26.36,33.64,41.54
ISFIN,AYES,5,22,22.73,0.11,17.89,4.83,5,60.0,2.53,3.64,15.19,44.81,41.53
KENT,MIATK,5,76,28.95,0.55,18.76,10.18,12,50.0,2.22,1.99,13.08,36.92,41.53
KTSKR,MANAS,4,17,29.41,1.12,21.43,7.98,18,55.56,2.91,4.49,32.35,23.2,41.53
RAYSG,A1CAP,1,51,17.65,0.52,11.24,6.4,5,60.0,3.01,5.03,14.94,45.06,41.52
ISFIN,SAFKR,2,22,22.73,0.23,21.15,1.58,5,60.0,3.05,3.48,16.67,43.33,41.52
BRKVY,BURVA,2,74,25.68,0.66,18.06,7.62,21,57.14,3.1,3.33,34.17,22.98,41.52
PARSN,OFSYM,3,13,23.08,1.95,13.4,9.67,5,60.0,2.08,4.02,15.9,44.1,41.51
ECILC,TRALT,1,23,8.7,0.6,10.69,-2.0,13,61.54,3.21,3.4,24.48,37.06,41.51
BIMAS,TURSG,1,13,15.38,0.43,14.99,0.39,5,60.0,3.15,3.18,9.31,50.69,41.5
INGRM,DMRGD,1,17,23.53,1.13,14.4,9.13,9,55.56,3.12,3.63,21.58,33.98,41.5
ISFIN,HEDEF,3,22,27.27,1.97,19.8,7.47,5,60.0,3.32,3.76,27.76,32.24,41.5
PGSUS,ATEKS,3,12,33.33,2.21,15.71,17.63,4,50.0,4.58,4.99,20.92,29.08,41.5
SOKE,KUTPO,1,15,6.67,-1.29,15.45,-8.78,8,62.5,2.13,3.2,7.05,55.45,41.49
KLSER,MARBL,1,16,37.5,2.05,14.89,22.61,4,50.0,2.04,2.25,9.88,40.12,41.48
ECILC,TRCAS,5,22,31.82,1.22,14.97,16.85,13,46.15,2.21,2.26,10.55,35.61,41.48
AYEN,KTLEV,1,14,21.43,-1.14,20.8,0.63,12,58.33,3.09,3.34,28.11,30.22,41.48
MPARK,ELITE,1,21,33.33,0.73,15.05,18.28,6,50.0,1.98,2.3,7.05,42.95,41.47
EGGUB,HURGZ,4,41,26.83,1.03,15.14,11.69,10,50.0,3.31,3.25,15.55,34.45,41.47
MARBL,AHSGY,5,14,35.71,0.4,18.59,17.13,8,50.0,2.74,3.18,19.25,30.75,41.47
GEREL,GUNDG,4,30,26.67,1.12,17.0,9.66,33,57.58,3.29,4.48,39.58,17.99,41.47
AEFES,MTRKS,2,23,13.04,0.0,17.59,-4.55,6,66.67,1.57,3.06,15.83,50.83,41.46
TSPOR,VBTYZ,4,32,9.38,-0.27,14.54,-5.17,8,62.5,3.33,3.28,18.91,43.59,41.46
EGGUB,KTLEV,3,35,20.0,0.22,20.8,-0.8,10,60.0,3.42,3.38,28.34,31.66,41.46
ALKA,BURVA,4,32,28.12,1.39,17.93,10.2,16,56.25,2.84,3.48,34.45,21.8,41.46
VESTL,AKFYE,5,17,29.41,0.61,12.97,16.44,6,50.0,3.31,4.11,11.81,38.19,41.45
DESA,ATEKS,4,26,23.08,-0.25,15.74,7.34,7,57.14,3.34,3.57,21.01,36.13,41.45
BERA,GATEG,1,27,40.74,2.52,27.52,13.22,11,45.45,2.76,1.89,16.6,28.86,41.45
ENERY,DITAS,1,29,44.83,2.27,16.04,28.79,11,45.45,1.65,1.05,24.07,21.39,41.45
ALKIM,DITAS,4,15,13.33,-0.99,15.94,-2.6,6,66.67,2.65,4.16,24.37,42.3,41.44
BLUME,ATATP,1,74,22.97,0.64,19.8,3.17,14,57.14,2.45,3.74,23.65,33.49,41.44
ENTRA,TRENJ,1,13,30.77,1.26,14.46,16.31,10,50.0,2.55,2.91,17.43,32.57,41.44
MNDRS,KTLEV,1,16,12.5,-1.17,20.8,-8.3,6,66.67,3.26,4.85,28.11,38.55,41.43
THYAO,NETAS,1,14,35.71,2.75,16.63,19.08,4,50.0,3.61,2.93,17.43,32.57,41.43
OZKGY,PASEU,5,13,23.08,0.76,17.87,5.21,5,60.0,4.07,3.76,27.85,32.15,41.43
DOHOL,EUPWR,1,9,33.33,-0.84,13.21,20.12,4,50.0,4.21,4.78,20.33,29.67,41.43
KONTR,HEDEF,1,40,40.0,2.88,19.72,20.28,27,48.15,2.33,2.84,27.94,20.21,41.43
AVPGY,LYDHO,5,10,30.0,1.99,20.96,9.04,4,50.0,4.84,4.26,13.5,36.5,41.42
THYAO,KONTR,1,14,28.57,1.53,15.19,13.38,4,50.0,4.9,5.74,15.77,34.23,41.42
DGNMO,EFOR,3,8,25.0,1.85,17.92,7.08,20,55.0,2.45,3.2,22.82,32.18,41.42
KATMR,CEMZY,3,22,36.36,1.4,17.94,18.42,8,50.0,2.77,2.63,21.4,28.6,41.41
BORSK,BURVA,4,21,28.57,1.04,17.93,10.64,13,53.85,3.58,4.33,34.45,19.39,41.41
ULUUN,ENERY,3,18,22.22,1.08,13.27,8.95,5,60.0,2.03,3.25,14.64,45.36,41.4
TBORG,BRLSM,1,28,32.14,0.71,13.86,18.28,4,50.0,3.7,2.5,14.11,35.89,41.4
INDES,BURCE,1,23,39.13,1.87,18.34,20.79,6,50.0,3.18,2.16,24.07,25.93,41.4
TOASO,MARTI,4,18,11.11,-0.1,13.15,-2.04,7,57.14,5.01,7.46,16.39,40.76,41.39
EKSUN,GATEG,1,16,25.0,0.47,27.52,-2.52,7,57.14,3.19,3.0,16.6,40.55,41.39
KRPLS,GZNMI,1,17,41.18,1.5,18.42,22.76,11,45.45,2.15,0.81,19.92,25.54,41.39
YKBNK,BAHKM,1,12,0.0,0.23,12.46,-12.46,9,66.67,3.16,3.19,22.63,44.03,41.38
MNDTR,PATEK,3,18,33.33,1.58,23.94,9.39,5,60.0,0.97,3.13,18.26,41.74,41.38
OZKGY,YEOTK,1,19,21.05,0.31,16.57,4.48,5,60.0,3.29,3.42,19.68,40.32,41.38
ALARK,KCAER,3,11,18.18,1.59,14.65,3.53,5,60.0,2.64,3.54,11.3,48.7,41.37
AZTEK,DAPGM,5,49,6.12,-0.85,12.72,-6.6,12,58.33,3.46,3.79,15.61,42.72,41.37
KLSER,IZENR,1,21,28.57,1.23,15.58,12.99,4,50.0,4.41,3.61,12.03,37.97,41.37
KRDMD,TCKRC,1,10,20.0,0.58,15.44,4.56,9,55.56,3.5,3.06,18.11,37.45,41.37
TBORG,TERA,2,28,35.71,1.0,24.7,11.01,4,50.0,4.55,3.94,18.75,31.25,41.37
AYDEM,KERVN,5,16,31.25,2.43,17.37,13.88,9,55.56,2.2,3.4,26.58,28.97,41.37
POLTK,BURVA,1,53,28.3,1.01,18.22,10.08,18,55.56,3.02,3.81,34.44,21.12,41.37
OZKGY,FMIZP,1,19,21.05,1.71,15.25,5.81,5,60.0,1.68,3.06,8.71,51.29,41.36
ULUUN,EGPRO,1,18,11.11,-0.05,13.61,-2.5,6,66.67,1.75,3.32,15.77,50.9,41.36
YIGIT,EGPRO,3,23,4.35,-0.05,13.66,-9.32,6,66.67,2.67,3.65,15.9,50.77,41.36
OZKGY,FZLGY,5,13,23.08,0.54,17.6,5.48,5,60.0,2.25,3.32,14.77,45.23,41.36
SNPAM,TMPOL,1,76,23.68,0.6,19.41,4.28,8,62.5,1.67,4.25,24.48,38.02,41.36
KAYSE,MANAS,5,9,11.11,-0.66,21.27,-10.16,8,62.5,4.84,8.06,32.49,30.01,41.36
BIMAS,BIOEN,2,13,15.38,1.79,12.25,3.13,5,60.0,3.48,4.61,14.58,45.42,41.35
OSMEN,HDFGS,5,43,18.6,0.5,13.77,4.83,9,55.56,3.93,3.64,20.25,35.3,41.35
AKGRT,YAPRK,2,24,29.17,1.03,20.55,8.61,4,50.0,4.53,5.45,10.42,39.58,41.34
KORDS,KTLEV,2,11,18.18,0.17,20.8,-2.62,15,60.0,2.9,3.04,28.23,31.77,41.34
AKBNK,KERVN,1,29,27.59,1.61,17.43,10.16,9,55.56,2.98,4.9,26.14,29.41,41.34
BRYAT,PRZMA,4,38,26.32,0.92,14.48,11.83,11,54.55,2.62,3.6,25.63,28.92,41.34
LUKSK,ATATP,3,48,35.42,1.76,19.48,15.93,10,50.0,2.7,2.39,23.43,26.57,41.34
EGGUB,TRHOL,2,40,37.5,255.18,26.39,11.11,10,50.0,3.89,2.72,30.83,19.17,41.34
EGEPO,SASA,3,44,15.91,0.4,12.08,3.83,9,55.56,3.35,3.67,12.55,43.0,41.33
KLSER,SAYAS,1,21,28.57,0.72,15.05,13.52,4,50.0,4.66,4.31,14.52,35.48,41.33
AFYON,ASTOR,4,12,41.67,2.58,12.55,29.12,4,50.0,2.39,2.88,22.27,27.73,41.33
KONKA,AKFYE,4,23,21.74,0.82,13.15,8.59,7,57.14,2.07,3.02,11.76,45.38,41.32
TAVHL,KTSKR,1,11,9.09,0.01,11.05,-1.95,5,60.0,4.43,5.63,13.28,46.72,41.31
KIMMR,YEOTK,5,38,26.32,1.32,15.9,10.41,9,55.56,2.23,3.37,19.59,35.96,41.31
IEYHO,BURCE,4,61,27.87,0.52,18.25,9.61,9,55.56,2.74,3.45,24.37,31.19,41.31
DYOBY,ATATP,5,46,34.78,1.96,19.16,15.62,12,50.0,2.1,2.2,23.21,26.79,41.31
FZLGY,PSGYO,4,27,11.11,-0.18,16.87,-5.75,10,60.0,3.24,4.28,18.91,41.09,41.3
SDTTR,TRMET,1,32,21.88,0.44,14.06,7.82,18,55.56,1.9,3.28,18.26,37.3,41.3
BLUME,TRHOL,4,73,24.66,0.6,26.29,-1.64,14,57.14,3.44,3.92,31.09,26.05,41.3
BIMAS,TGSAS,2,12,16.67,1.73,20.04,-3.37,5,60.0,3.58,3.05,14.58,45.42,41.29
LMKDC,EGPRO,2,25,20.0,0.71,13.64,6.36,5,60.0,2.67,3.06,15.83,44.17,41.29
CMBTN,TCKRC,1,13,30.77,1.29,15.44,15.33,7,57.14,1.02,3.35,18.11,39.04,41.29
AKBNK,KLRHO,2,20,25.0,1.1,15.28,9.72,9,55.56,3.63,3.11,28.33,27.22,41.29
NTGAZ,TCKRC,5,23,34.78,0.58,15.44,19.34,11,45.45,3.08,1.54,18.41,27.04,41.29
YGGYO,BURVA,1,14,42.86,1.3,18.22,24.64,10,50.0,2.27,2.0,34.44,15.56,41.29
PGSUS,USAK,2,13,38.46,3.45,18.77,19.69,4,50.0,1.92,2.21,8.75,41.25,41.28
TAVHL,YGGYO,1,10,10.0,0.22,8.91,1.09,5,60.0,4.12,4.29,12.86,47.14,41.27
KIMMR,EGGUB,4,38,18.42,0.37,14.74,3.68,9,55.56,2.94,3.47,12.18,43.37,41.27
ALKA,DCTTR,2,21,19.05,0.1,24.48,-5.44,17,52.94,3.05,3.53,11.16,41.78,41.27
KRGYO,KTLEV,1,38,13.16,-0.68,20.8,-7.64,9,66.67,2.06,3.73,28.11,38.55,41.27
INDES,SAYAS,1,22,27.27,1.16,15.05,12.22,6,50.0,4.26,3.75,14.52,35.48,41.27
AGHOL,SASA,2,15,13.33,-0.61,12.06,1.28,5,60.0,3.6,4.62,12.5,47.5,41.26
VAKBN,AYCES,2,16,12.5,0.22,12.3,0.2,7,57.14,4.7,7.55,16.25,40.89,41.26
YAPRK,MSGYO,2,67,20.9,0.15,17.19,3.7,21,52.38,2.97,3.11,13.75,38.63,41.25
DOCO,SEGMN,5,10,30.0,0.71,10.71,19.29,10,50.0,2.53,1.93,19.67,30.33,41.25
CMBTN,GEREL,3,55,27.27,0.63,18.42,8.86,7,57.14,2.31,3.49,19.67,37.48,41.24
BESLR,VBTYZ,1,33,9.09,-0.56,14.65,-5.56,8,62.5,3.18,4.25,18.67,43.83,41.23
MNDTR,BURCE,5,21,28.57,1.19,18.29,10.28,5,60.0,2.19,7.74,24.05,35.95,41.23
AKSA,DGATE,1,23,34.78,0.79,21.58,13.2,6,50.0,3.3,2.15,15.77,34.23,41.23
BYDNR,KLRHO,2,13,30.77,1.16,15.28,15.49,22,54.55,1.61,3.58,28.33,26.21,41.23
VKGYO,AYEN,2,19,5.26,-0.73,9.52,-4.26,6,66.67,2.11,3.55,13.33,53.33,41.22
BIMAS,BAGFS,1,13,15.38,0.9,15.25,0.14,5,60.0,3.02,5.91,9.54,50.46,41.22
KONYA,IZFAS,2,23,13.04,0.04,16.6,-3.56,5,60.0,3.8,8.23,12.92,47.08,41.22
AGHOL,VANGD,2,14,21.43,-0.54,19.64,1.79,5,60.0,3.33,4.52,19.17,40.83,41.22
INGRM,GESAN,1,37,21.62,0.21,15.64,5.98,9,55.56,2.95,4.24,17.43,38.13,41.22
MNDTR,KTLEV,2,14,28.57,0.2,20.8,7.77,5,60.0,2.99,3.37,28.23,31.77,41.22
DOCO,ANELE,1,18,22.22,0.28,15.45,6.78,11,54.55,3.66,3.81,26.14,28.4,41.22
ELITE,GUNDG,4,18,16.67,-0.2,17.0,-0.34,6,66.67,4.09,7.32,39.58,27.08,41.22
INVEO,SOKE,4,32,3.12,-0.87,7.94,-4.81,8,62.5,2.37,4.09,6.72,55.78,41.21
ISSEN,AYCES,4,10,0.0,-0.73,12.35,-12.35,6,66.67,3.21,4.35,16.39,50.28,41.21
INGRM,FZLGY,5,17,23.53,1.58,17.6,5.93,9,55.56,2.34,3.88,14.77,40.79,41.21
ALKIM,TRHOL,5,15,46.67,3.12,26.35,20.32,6,50.0,3.05,3.77,31.22,18.78,41.21
AGROT,GUNDG,3,12,41.67,1.69,17.0,24.66,11,54.55,1.04,3.41,39.42,15.13,41.21
AGESA,BAKAB,4,23,17.39,1.06,14.14,3.25,5,60.0,2.95,3.29,13.45,46.55,41.2
TABGD,OSMEN,1,17,29.41,0.7,14.0,15.41,4,50.0,3.72,3.51,10.37,39.63,41.2
IEYHO,ONCSM,4,61,19.67,0.56,13.35,6.33,9,55.56,3.25,4.19,18.07,37.49,41.2
CCOLA,DMRGD,5,10,20.0,0.69,14.4,5.6,9,55.56,3.74,4.43,21.52,34.04,41.2
PETKM,KERVN,2,12,8.33,-0.8,17.26,-8.93,10,60.0,4.52,5.75,26.25,33.75,41.2
LILAK,BURVA,1,17,5.88,-0.77,18.22,-12.34,9,66.67,3.82,9.11,34.44,32.23,41.19
GUBRF,AHSGY,4,10,30.0,-0.45,18.59,11.41,10,50.0,3.2,2.64,19.17,30.83,41.18
ISFIN,RUBNS,1,22,13.64,0.34,13.27,0.37,5,60.0,4.14,4.36,16.6,43.4,41.17
EGPRO,PAPIL,2,30,23.33,0.04,26.28,-2.95,11,54.55,2.56,3.28,14.17,40.38,41.17
INVEO,TRALT,4,32,12.5,-0.14,10.56,1.94,8,62.5,3.31,4.41,24.79,37.71,41.17
NUHCM,PNLSN,5,22,27.27,1.06,15.17,12.1,10,50.0,2.62,2.29,12.66,37.34,41.17
BFREN,ANELE,3,37,21.62,0.76,15.51,6.11,5,60.0,3.8,3.72,26.36,33.64,41.17
KLNMA,ENSRI,1,57,36.84,1.76,23.08,13.77,17,47.06,2.78,2.33,21.58,25.48,41.17
TBORG,KUVVA,5,28,46.43,1.47,19.96,26.47,4,50.0,1.3,2.14,17.72,32.28,41.16
OBAMS,OZRDN,1,30,26.67,0.86,14.4,12.27,15,53.33,2.92,4.25,28.63,24.7,41.16
UFUK,BURVA,5,76,25.0,1.02,17.96,7.04,28,57.14,3.01,3.91,34.18,22.97,41.16
THYAO,MHRGY,3,10,30.0,0.8,10.93,19.07,4,50.0,3.09,1.56,9.24,40.76,41.15
OZKGY,KAPLM,5,19,21.05,0.51,18.76,2.29,5,60.0,3.6,3.52,21.52,38.48,41.15
YYLGD,PKENT,4,13,30.77,1.55,18.33,12.44,6,50.0,3.32,2.48,11.76,38.24,41.15
PNSUT,DOGUB,2,20,15.0,0.56,16.67,-1.67,10,60.0,4.38,5.76,32.08,27.92,41.15
AGESA,RUZYE,4,23,21.74,0.49,14.34,7.4,5,60.0,1.97,3.16,13.87,46.13,41.14
NATEN,PKART,2,39,17.95,0.34,17.46,0.49,5,60.0,3.26,3.77,14.58,45.42,41.14
BRSAN,PCILT,1,36,19.44,1.01,15.64,3.8,23,52.17,3.37,3.7,15.35,36.82,41.14
GOODY,HEDEF,4,17,47.06,3.38,19.84,27.22,6,50.0,1.76,2.62,27.46,22.54,41.14
ISFIN,A1CAP,2,22,13.64,0.06,11.26,2.37,5,60.0,3.7,4.55,15.0,45.0,41.13
OZKGY,INVES,1,13,15.38,0.33,12.86,2.52,5,60.0,4.05,4.0,19.5,40.5,41.13
GRSEL,LIDER,2,44,20.45,0.49,18.77,1.68,8,62.5,2.05,3.45,23.33,39.17,41.13
DGATE,KRONT,1,57,19.3,0.29,19.53,-0.23,16,56.25,2.71,3.94,18.67,37.58,41.13
KLSER,DGATE,1,21,28.57,0.92,21.58,6.99,4,50.0,5.35,5.71,15.77,34.23,41.13
BIENY,BURVA,1,16,0.0,-0.26,18.22,-18.22,11,63.64,5.01,7.33,34.44,29.2,41.13
IEYHO,MANAS,2,62,27.42,-1.21,21.74,5.68,9,55.56,4.16,4.8,32.5,23.06,41.13
EGEPO,ICBCT,3,43,18.6,0.05,13.72,4.89,9,55.56,2.41,3.15,10.04,45.51,41.12
TAVHL,BMSTL,3,11,18.18,0.95,15.05,3.13,5,60.0,3.19,3.39,16.33,43.67,41.12
GARFA,CRDFA,4,52,32.69,0.94,21.63,11.07,7,57.14,1.63,3.94,22.27,34.87,41.12
ASUZU,DAGI,1,22,31.82,0.18,18.15,13.67,4,50.0,3.57,4.54,10.79,39.21,41.11
HUNER,KRDMA,5,22,27.27,1.03,13.17,14.1,8,50.0,3.05,2.94,12.66,37.34,41.11
RALYH,ANELE,2,42,9.52,0.13,15.48,-5.95,24,58.33,4.25,4.26,26.25,32.08,41.11
DESA,KLRHO,1,17,29.41,2.29,15.28,14.13,7,57.14,2.55,5.11,28.22,28.93,41.11
OTKAR,KLRHO,2,13,38.46,0.84,15.28,23.18,10,50.0,2.07,3.01,28.33,21.67,41.11
PETKM,MANAS,3,12,41.67,1.61,21.58,20.08,10,50.0,2.53,3.6,32.64,17.36,41.11
KONYA,GMTAS,2,23,8.7,-0.98,15.02,-6.32,5,60.0,4.63,6.39,15.42,44.58,41.1
BANVT,GESAN,2,48,14.58,0.07,15.48,-0.89,5,60.0,4.12,3.42,17.5,42.5,41.1
YKBNK,ISGSY,4,25,20.0,-0.01,17.86,2.14,9,55.56,3.35,3.13,16.53,39.03,41.1
BIMAS,KAPLM,3,12,25.0,1.7,18.69,6.31,5,60.0,2.67,3.38,21.76,38.24,41.1
LUKSK,BURVA,3,48,14.58,0.47,18.09,-3.51,10,60.0,4.7,8.61,34.31,25.69,41.1
INGRM,SEGMN,1,13,23.08,1.2,10.71,12.36,9,55.56,2.29,3.27,19.34,36.21,41.09
BOBET,CATES,5,15,13.33,0.87,12.53,0.81,5,60.0,4.04,3.77,16.32,43.68,41.08
NTHOL,EGEEN,5,27,29.63,1.02,13.77,15.86,4,50.0,3.31,2.17,8.44,41.56,41.08
SNPAM,ODINE,4,32,12.5,-0.53,20.29,-7.79,9,66.67,1.83,3.63,26.67,40.0,41.08
VAKKO,PASEU,1,10,30.0,0.89,17.87,12.13,9,55.56,2.51,3.27,27.8,27.75,41.08
ISSEN,MOBTL,5,10,20.0,0.07,16.7,3.3,7,57.14,3.63,5.71,18.99,38.16,41.07
NUGYO,ESCOM,1,28,25.0,1.23,18.54,6.46,7,57.14,2.77,4.29,19.92,37.23,41.07
PENTA,KONTR,2,18,33.33,1.48,15.02,18.31,6,50.0,2.88,2.41,15.83,34.17,41.07
