leader,follower,lag_days,train_events,train_success_rate,train_average_return,train_baseline_rate,train_uplift,test_events,test_success_rate,test_average_return,test_median_return,test_baseline_rate,test_uplift,relationship_score
AKSA,GLYHO,1,23,17.39,0.71,13.61,3.78,6,50.0,3.14,2.83,12.03,37.97,36.85
KRDMD,KARTN,3,16,12.5,0.24,13.52,-1.02,10,50.0,3.3,2.48,15.48,34.52,36.85
INDES,KARTN,2,21,19.05,-0.0,13.49,5.56,6,50.0,3.25,1.25,15.83,34.17,36.85
KLSER,BIGTK,1,21,38.1,1.27,24.55,13.54,4,50.0,1.01,2.06,19.09,30.91,36.85
ALCTL,PASEU,1,23,13.04,0.3,17.87,-4.82,11,54.55,2.87,3.42,27.8,26.74,36.85
DURKN,DOGUB,2,19,15.79,0.14,16.67,-0.88,17,52.94,3.33,4.01,32.08,20.86,36.85
ASELS,MANAS,2,22,22.73,-0.49,21.74,0.99,19,52.63,2.47,4.01,32.5,20.13,36.85
ISSEN,VBTYZ,1,10,10.0,-0.79,14.65,-4.65,7,57.14,2.43,3.12,18.67,38.47,36.84
JANTS,ALTNY,5,18,22.22,0.59,15.88,6.34,6,50.0,2.25,3.01,12.13,37.87,36.84
AYEN,SELEC,5,14,7.14,0.47,12.18,-5.03,12,50.0,3.75,3.58,18.57,31.43,36.84
ANHYT,VBTYZ,1,32,21.88,1.67,14.65,7.22,8,50.0,2.41,2.66,18.67,31.33,36.84
HUNER,VBTYZ,1,22,22.73,1.13,14.65,8.07,8,50.0,2.21,2.4,18.67,31.33,36.84
AKFGY,CRDFA,3,16,31.25,0.3,21.78,9.47,6,50.0,2.07,2.22,22.18,27.82,36.84
NTHOL,KLMSN,1,27,18.52,-0.09,14.65,3.87,4,50.0,3.36,4.11,9.96,40.04,36.83
THYAO,DURDO,1,14,21.43,1.84,16.57,4.86,4,50.0,3.09,3.32,11.62,38.38,36.83
TATGD,BRLSM,1,11,9.09,-0.6,13.86,-4.77,12,50.0,2.89,3.12,14.11,35.89,36.83
LILAK,ECZYT,4,17,11.76,0.49,13.15,-1.38,8,50.0,3.89,2.12,14.29,35.71,36.83
